#  INDEX    X            Y            INTENSITY    ELLIPT    ANGLE
   100   0.00831933   0.93918933         475576    0.3390    168.1
   101   0.98361133   0.44208000          35971    0.0430     35.8
   102   0.74492333   0.88837200           5893    0.1710    134.5
   103   0.15079600   0.04849067          26715    0.1390     82.9
   104   0.05782133   0.00237667          23905    0.0630     14.8
   105   0.52212533   0.19658400         111894    0.0340    170.9
   106   0.92881533   0.40559533          60986    0.2850     16.7
   107   0.27065467   0.13189333           3768    0.4310     89.4
   108   0.31697933   0.91207733          25885    0.0520      1.5
   109   0.25589000   0.18805733         160169    0.0650    166.5
   110   0.22415000   0.07677133         275277    0.2780     71.8
   111   0.60307133   0.80222333         281373    0.0150      6.4
   112   0.82744800   0.09864933          47924    0.0510    162.1
   113   0.50351133   0.39753000         149158    0.1320    138.9
   114   0.96950867   0.32699000         161866    0.3970     57.4
   115   0.48165267   0.64905867         127925    0.1610    156.9
   116   0.84956733   0.63860133          49406    0.3760     56.7
   117   0.74400133   0.82360333          52756    0.2210     30.8
   118   0.58443533   0.09261467          36487    0.3970     97.0
   119   0.53573467   0.11627267          20899    0.0880    166.5
   120   0.15158600   0.07861800          33618    0.3280     22.5
   121   0.91597667   0.26915467         467236    0.2910     33.4
   122   0.62557533   0.16560400          63619    0.6900     37.8
   123   0.57292600   0.75104200          72245    0.0370    111.1
   124   0.64600533   0.82910467          61510    0.1510    159.0
   125   0.15284867   0.10201600          63733    0.0820     60.7
   126   0.25221133   0.84614267         106514    0.0640      4.0
   127   0.15793267   0.32935267          12760    0.2280    137.2
   128   0.53741533   0.19413933           4049    0.3740     43.1
   129   0.42378733   0.80335733           8069    0.3950     20.6
   130   0.75400067   0.36047467          10096    0.2640     94.2
   131   0.13378400   0.34673533         105251    0.0560     47.1
   132   0.73182467   0.13803733          48350    0.5380     13.0
   133   0.43291733   0.05477867          39775    0.2380    102.4
   134   0.84987333   0.78955000          48461    0.3090    131.6
   135   0.05840800   0.61463000          11005    0.2340      0.6
   136   0.02582933   0.03559200         145325    0.0770     49.4
   137   0.12705600   0.15049533          35694    0.0990      0.0
   138   0.20979800   0.78154133         119580    0.0980    162.1
   139   0.84595667   0.24636333          98626    0.1290    169.2
   140   0.24492133   0.72869400         274915    0.0650     40.4
   141   0.33017933   0.00125133           6561    0.4430     96.3
   142   0.42950667   0.32334133         123422    0.0510    100.4
   143   0.06399667   0.51234467          96641    0.1930    170.3
   144   0.85633333   0.43046400           6969    0.3150     26.0
   145   0.00772200   0.17017733          53748    0.3730     42.1
   146   0.15481000   0.75036467         179895    0.4890     73.5
   147   0.90677200   0.92555133         186395    0.1400     73.5
   148   0.37381467   0.56468267          47120    0.2650     85.1
   149   0.40321667   0.80581333          21182    0.1260    135.9
   150   0.75842867   0.40150933          82060    0.0490    112.4
   151   0.99411667   0.72459200           7147    0.1480     12.4
   152   0.82998467   0.97308400          31366    0.4020    179.3
   153   0.58428067   0.21819000          81112    0.1110    148.1
   154   0.91498733   0.87413400          91821    0.0970     78.3
   155   0.73322067   0.76880467          59289    0.1980    170.2
   156   0.89025133   0.35046867         303982    0.2660     62.9
   157   0.09468867   0.23783067          24490    0.3790    102.9
   158   0.45172933   0.56292933         145468    0.1420     66.5
   159   0.51809000   0.52850933         374699    0.2560    145.1
   160   0.64165067   0.24400333           3754    0.3250     89.8
   161   0.39839000   0.86948067          82421    0.0630     73.6
   162   0.48806467   0.48776933         124932    0.2030    123.1
   163   0.55417000   0.33214733         377176    0.0140     35.1
   164   0.04004933   0.98546867          11502    0.5940    177.1
   165   0.05429467   0.71069067          38680    0.4770     60.2
   166   0.86459467   0.94703067          31100    0.1280    169.9
   167   0.53879733   0.92054533         297272    0.2050    155.5
   168   0.04565467   0.73170733          11492    0.5020     21.2
   169   0.49014000   0.00450467          15613    0.1820      8.0
   170   0.49054533   0.75465800          46840    0.2780     24.3
   171   0.49021667   0.23164467           5888    0.3530     66.8
   172   0.68657867   0.84360000          28217    0.3740     19.5
   173   0.92357400   0.23095400          12633    0.3830      6.8
   174   0.17437067   0.96971333          58647    0.1020    148.3
   175   0.58108533   0.42557267          54635    0.3000    116.9
   176   0.75890933   0.30912867         262226    0.0700    168.6
   177   0.98078000   0.72239267         369054    0.0470     23.7
   178   0.42353733   0.37749467          84550    0.0780      2.2
   179   0.13006600   0.06022400         103966    0.2200     90.0
   180   0.95786133   0.09303800          60390    0.2930     67.4
   181   0.06416267   0.86212200          15535    0.2170    151.0
   182   0.91907067   0.84950667          97264    0.1010    176.9
   183   0.59280333   0.95073533           5492    0.6380    118.2
   184   0.47842200   0.12045267          66254    0.0860    175.8
   185   0.94966533   0.80666667           3824    0.3280     89.3
   186   0.76111800   0.27570533          74667    0.1340    161.8
   187   0.64901067   0.93933467           3824    0.3260     88.9
   188   0.35569600   0.46133067         132963    0.0680     92.2
   189   0.61655400   0.54747000         129163    0.3190    137.8
   190   0.71386533   0.79110733           3879    0.5480     12.0
   191   0.73353667   0.26908133          19470    0.3800     26.7
   192   0.76816267   0.88166933         209863    0.0240    153.1
   193   0.47207067   0.87022133          93711    0.1250    159.0
   194   0.33294267   0.20578667          94264    0.1470    139.6
   195   0.46085867   0.12758200          78318    0.4100    135.3
   196   0.30555733   0.15442667          42292    0.1110     19.5
   197   0.69418467   0.11790333           6972    0.1380      8.6
   198   0.36684400   0.84936600          87452    0.1980      2.3
   199   0.82804333   0.45028667          93212    0.2130    160.5
   200   0.30343800   0.64404933         220732    0.0400     23.7
   201   0.03467467   0.31887333         413239    0.3590    107.4
   202   0.35832733   0.83052267          17707    0.3760    108.5
   203   0.09718467   0.26965600         242416    0.1510     27.7
   204   0.49699467   0.04991933          16239    0.5160     67.9
   205   0.81500867   0.33058800         196290    0.0050    118.2
   206   0.88510333   0.45466667         350697    0.0220    170.5
   207   0.42288533   0.97690133          91417    0.1020     61.7
   208   0.10564267   0.71121400          96384    0.2540    141.9
   209   0.02412800   0.85398867         189205    0.1150     26.5
   210   0.21605333   0.53432867          29942    0.1840     12.7
   211   0.01755733   0.97123800          15338    0.1850      5.3
   212   0.64277800   0.80747800          10381    0.1320    142.8
   213   0.18948333   0.82675600         411158    0.2060     92.4
   214   0.62177867   0.75170200          24716    0.0890     10.1
   215   0.44321800   0.47875267         152136    0.2120    171.5
   216   0.37719933   0.80317867           8532    0.1370    171.5
   217   0.54102000   0.45836000          47226    0.1830     12.6
   218   0.62606933   0.51330733          45780    0.1470     15.8
   219   0.56334067   0.58917733          39850    0.2350    108.6
   220   0.26492533   0.62645067          32804    0.2080     62.8
   221   0.93168333   0.87634800          13290    0.4270    157.7
   222   0.52091667   0.61481933          31832    0.3860     31.6
   223   0.15769667   0.96845533          73506    0.1260    147.9
   224   0.23698733   0.37858000          24610    0.4320     91.9
   225   0.20038133   0.03831267          13926    0.3990    160.5
   226   0.20200067   0.98539467           9048    0.5920    171.7
   227   0.57511600   0.75493133          71718    0.1190    129.1
   228   0.27904000   0.24425800         217394    0.1690    105.5
   229   0.99044533   0.97269600         128125    0.1070    170.9
   230   0.36151133   0.75218533         271065    0.1040     82.2
   231   0.33885400   0.41538867           8500    0.2300      1.8
   232   0.35414400   0.95825933          17969    0.4310    174.4
   233   0.28550667   0.04814133         119806    0.2280     40.3
   234   0.76031667   0.98866667           3927    0.3270     90.2
   235   0.46326933   0.70086533          20322    0.2130     23.3
   236   0.58376533   0.64837867         185551    0.3900    138.2
   237   0.40432467   0.93701600         405150    0.2380    113.6
   238   0.54520667   0.12806533           4997    0.4680     97.9
   239   0.73874467   0.38002600         123051    0.1300    148.5
   240   0.61768200   0.55760467          57452    0.2670     19.8
   241   0.13733133   0.33735800          90523    0.3470      0.3
   242   0.72792200   0.68573800          13133    0.0920    164.1
   243   0.15546400   0.55234667           7151    0.5620    166.2
   244   0.99823800   0.94435467         159399    0.5100      3.5
   245   0.91441000   0.27672533         346550    0.0770    160.0
   246   0.38746800   0.24897067          52483    0.3160      0.9
   247   0.95037400   0.30735867         208269    0.1600    124.9
   248   0.90098600   0.43332867           9714    0.2000    177.2
   249   0.48593133   0.48317067          25717    0.5720    141.6
   250   0.44693000   0.45457267         355884    0.0240    117.6
   251   0.88754867   0.41205467          87453    0.1240     10.7
   252   0.94761867   0.27136933         167012    0.0480      2.3
   253   0.26596933   0.75445133          25598    0.0160     39.9
   254   0.97059933   0.91691867          96813    0.0100     27.1
   255   0.53393733   0.51652000           7023    0.4980     41.2
   256   0.72518333   0.70511333          23556    0.1540     54.5
   257   0.81648933   0.05487400         468683    0.0050    134.2
   258   0.53775267   0.92252400         215296    0.0390    126.2
   259   0.53402133   0.64382667           7142    0.5140     62.0
   260   0.58392933   0.32824067         466332    0.5340    158.0
   261   0.76678800   0.87521867          32837    0.0570    175.3
   262   0.34023733   0.09747867           6076    0.4710    143.6
   263   0.78821533   0.41516600          13998    0.5950     22.9
   264   0.03775200   0.87677400          13474    0.1200    176.2
   265   0.13193667   0.93164933          32926    0.4520     87.7
   266   0.27576600   0.65487200          65423    0.0890    173.4
   267   0.29109733   0.63814533         226550    0.1470     40.1
   268   0.91157600   0.94256533         182887    0.0480     21.8
   269   0.13713933   0.33242200         141025    0.1910      6.5
   270   0.45087333   0.37542600          66589    0.1680    156.6
   271   0.62930000   0.11591600          74310    0.0720    145.7
   272   0.69468533   0.69834200         189002    0.2240    120.6
   273   0.29853067   0.71267733           4049    0.4530      0.2
   274   0.43003133   0.48834933          31911    0.0960    101.6
   275   0.87682933   0.50064067         112123    0.3590     41.1
   276   0.92252733   0.99615133           8496    0.3240     35.2
   277   0.37668333   0.31763600           5944    0.1480     90.0
   278   0.03165000   0.98159533          32872    0.1050    125.1
   279   0.69768667   0.32106467         225974    0.1360    140.3
   280   0.74785333   0.03173533           7347    0.5520    159.7
   281   0.39783933   0.08143267           6692    0.3570    163.7
   282   0.40291267   0.20128533          11094    0.1660     58.9
   283   0.58901600   0.37324667          90310    0.1950    128.0
   284   0.10395133   0.62586800         119107    0.0610     52.1
   285   0.59112133   0.06137867          96166    0.3390    167.2
   286   0.39678867   0.50885667         425624    0.2880     87.7
   287   0.73434600   0.57951133          26330    0.1190      4.8
   288   0.72940800   0.05009533          87439    0.0650     45.1
   289   0.26497267   0.86277267          10019    0.4030     19.0
   290   0.45361000   0.02089200         107313    0.3930     32.9
   291   0.59361133   0.58967533          18319    0.0770     21.7
   292   0.72648133   0.86921600         372455    0.2630     23.5
   293   0.10845867   0.04451600          64082    0.2710     91.0
   294   0.53538600   0.91253000           6447    0.4180    172.9
   295   0.26757733   0.75842200           4752    0.1780    135.1
   296   0.33720333   0.78149067          29103    0.0590    179.3
   297   0.64462067   0.84573000          50190    0.3720    161.8
   298   0.59753667   0.65482933         126501    0.0690     88.2
   299   0.64304667   0.32703333           8731    0.0980     43.6
   300   0.13845800   0.47410733          48701    0.1420     11.2
   301   0.64637000   0.83746333          96630    0.0410     64.4
   302   0.25866000   0.06610600         168394    0.1050     46.1
   303   0.71692867   0.79225667           5031    0.1890    133.1
   304   0.05256533   0.04792067         163394    0.3640     16.4
   305   0.12827000   0.98556533          68231    0.1190    174.0
   306   0.29897933   0.17120333           7659    0.2850     17.2
   307   0.95121400   0.46284267           6620    0.3930     28.7
   308   0.08806533   0.16566733          32944    0.1550    127.0
   309   0.12762533   0.01011200         407684    0.0570     11.0
   310   0.96815333   0.40207733         351040    0.0250     58.6
   311   0.37074933   0.36760333          25098    0.2970    149.5
   312   0.80513600   0.23768867         393421    0.4960    169.9
   313   0.81380133   0.88959467          15499    0.2590     17.3
   314   0.80104133   0.89662333          14353    0.6140     54.6
   315   0.45607733   0.70056733         295682    0.1870     45.3
   316   0.70147067   0.90808133          42305    0.1330    155.3
   317   0.22208000   0.17819600         106790    0.1640     42.0
   318   0.01279533   0.30268533          25484    0.1400    179.6
   319   0.36062733   0.01562800          90488    0.0980     64.6
   320   0.17330600   0.03022733          55584    0.3550    151.8
   321   0.61775533   0.62338067          21489    0.4870     31.9
   322   0.78200200   0.63557133          68447    0.1110    150.3
   323   0.06544533   0.64887667         206802    0.4160    176.5
   324   0.05246533   0.32772133          12698    0.4440     92.8
   325   0.40377400   0.27457533           5717    0.5070      8.7
   326   0.63607867   0.08083333         126503    0.0780     63.1
   327   0.22535400   0.65818733          42713    0.1740    126.1
   328   0.38194867   0.45088067          26712    0.1000     63.2
   329   0.11493400   0.69463800         114688    0.0450    101.6
   330   0.05131267   0.55930133           7551    0.2790    134.7
   331   0.37735933   0.52632600          12498    0.4730     29.8
   332   0.79701200   0.12400600           6042    0.1720    179.2
   333   0.26803133   0.76127400         209595    0.3940     61.8
   334   0.74294867   0.14791600          10109    0.2370     12.4
   335   0.46328133   0.14770267           4050    0.6450     49.8
   336   0.14373467   0.98292133          85527    0.1440     49.0
   337   0.91404333   0.63359200          13810    0.3140    161.8
   338   0.23946200   0.07218400          74227    0.1580     34.0
   339   0.93509933   0.43300800          47600    0.0540    160.1
   340   0.84631533   0.98994800          15609    0.2930    106.4
   341   0.52640933   0.59304467          80261    0.1960    179.5
   342   0.77363600   0.42334333         157019    0.0990     49.1
   343   0.11039067   0.63980533           5580    0.4600    142.7
   344   0.80950400   0.06308800          21689    0.2260    140.6
   345   0.72472200   0.50302800          87954    0.4540     75.1
   346   0.62751867   0.02125000          27209    0.6080     27.4
   347   0.12056467   0.36878067           6605    0.4290     12.5
   348   0.48259267   0.65038067         127102    0.0810     75.1
   349   0.50086800   0.68706800          18374    0.2330    142.2
   350   0.04493333   0.58896800         272235    0.0650     73.7
   351   0.26572933   0.66428933         245004    0.1000    127.8
   352   0.51088400   0.55936267          18827    0.2420     54.4
   353   0.52830667   0.15874200          52341    0.1410     20.4
   354   0.75893133   0.16902533         133478    0.1470    133.1
   355   0.52678267   0.42993667         446133    0.3660     61.6
   356   0.25146467   0.09527000           5771    0.2860     70.6
   357   0.70167733   0.48621533           8773    0.1660    178.9
   358   0.77648533   0.33417800          13660    0.4390    142.4
   359   0.00572733   0.68220267         134310    0.0890    111.8
   360   0.76280133   0.67650800         212703    0.0150    166.1
   361   0.22555067   0.04689867          23065    0.1520     39.9
   362   0.29430533   0.15490467         229570    0.0960    104.2
   363   0.62943933   0.82625000           7999    0.2690     74.6
   364   0.42136667   0.00183133          35242    0.1580     12.1
   365   0.77469400   0.37774333          42167    0.4050     27.9
   366   0.54391800   0.08915667          40691    0.1270     13.8
   367   0.52268467   0.08481067         142957    0.0720     97.7
   368   0.80400333   0.51300933           3993    0.6470    130.0
   369   0.18824533   0.85863400           4590    0.5110     41.7
   370   0.86663000   0.46289667         129126    0.2520     47.1
   371   0.11745867   0.67156267          11615    0.4480     27.3
   372   0.58447200   0.76239533         484965    0.6050     33.9
   373   0.12297133   0.30433467          18079    0.1110     90.1
   374   0.27673467   0.43922000           4589    0.4870    171.3
   375   0.42957200   0.82423667          95438    0.2630     10.4
   376   0.70000867   0.30024067          67164    0.2660     67.8
   377   0.54066733   0.38397133          38757    0.1110     86.6
   378   0.06838400   0.54529800           8472    0.3300     26.3
   379   0.99685200   0.16203933          65394    0.0200     56.2
   380   0.15754467   0.25494867         309007    0.4410     84.1
   381   0.57532733   0.88194667         384777    0.0800     27.8
   382   0.45682067   0.08850733           5827    0.5620    144.2
   383   0.56941800   0.90419467         100210    0.1040    144.2
   384   0.87227267   0.57551600         284896    0.0610     90.4
   385   0.80959000   0.08132267           7076    0.4390     27.0
   386   0.66618667   0.18234800           7476    0.1540     90.1
   387   0.03099000   0.75116600         180402    0.0270     69.0
   388   0.00880333   0.83271333         430792    0.0200    175.5
   389   0.93909467   0.93196133         135318    0.1570     46.5
   390   0.10228533   0.44448733          23360    0.2030     72.6
   391   0.44133067   0.64552400         461582    0.0920     62.6
   392   0.50365000   0.17565333           5233    0.3380     43.1
   393   0.40712133   0.46378933           6057    0.1520     46.3
   394   0.93680000   0.91701133           5841    0.1370      0.0
   395   0.15241333   0.25857467           5538    0.2690    170.4
   396   0.24947867   0.97123733         155482    0.1430    160.1
   397   0.00434800   0.73371600         220166    0.4570    167.6
   398   0.30020467   0.92537667          13973    0.3320     77.6
   399   0.45690000   0.32131800         259611    0.3070    173.7
   400   0.22201533   0.61766467           4373    0.3260    179.7
   401   0.31978533   0.63025800         261114    0.1270    135.2
   402   0.74773067   0.99859067          55312    0.6010     94.3
   403   0.18157733   0.24615867          99822    0.0620    164.6
   404   0.54188867   0.51381733           8676    0.1860     36.9
   405   0.79503667   0.41684267         124648    0.4780    172.9
   406   0.33188267   0.57671067         242557    0.0500    173.0
   407   0.07901867   0.90999733           3979    0.6510     40.0
   408   0.50485200   0.53921667           6722    0.3680     17.3
   409   0.50093000   0.76767133          25837    0.0990    163.2
   410   0.32964467   0.04635133         368728    0.0620     20.0
   411   0.29302733   0.51137800          30027    0.1760     43.9
   412   0.97382533   0.92431067          36918    0.4020    148.5
   413   0.38706400   0.17622200          68728    0.4160    106.1
   414   0.20116133   0.17053400         233290    0.3630    161.8
   415   0.09857267   0.49537733          32596    0.0730     89.6
   416   0.66846733   0.05084333          35135    0.1000     29.8
   417   0.48484267   0.58525800         122272    0.0680    100.1
   418   0.34292467   0.58556133          44402    0.1720     29.3
   419   0.66215333   0.74623533         408716    0.0690     63.6
   420   0.15901133   0.09346533         110663    0.1310     98.0
   421   0.01953667   0.89943867          84723    0.1780    124.1
   422   0.64903800   0.24118800         187957    0.1080     52.7
   423   0.85923400   0.18674533          44249    0.2220    172.5
   424   0.32043467   0.31713333         110291    0.1130     59.1
   425   0.13048133   0.05995267           4646    0.4750     81.5
   426   0.33043200   0.09539933          25706    0.2560    156.2
   427   0.16323000   0.99172400           6894    0.4250    117.5
   428   0.78466733   0.79433533           3693    0.3290    179.3
   429   0.29164400   0.11600267           3994    0.3230     89.8
   430   0.65757800   0.48750400          18974    0.1590     87.8
   431   0.61587000   0.82596267         157167    0.1660      8.6
   432   0.23784867   0.18003133          75921    0.0780     80.3
   433   0.49149133   0.74989800          37252    0.1670     14.7
   434   0.07392200   0.92595400         131063    0.2420    150.1
   435   0.79444400   0.32403533          20907    0.4640      6.4
   436   0.76306200   0.81140067         147483    0.0620     84.9
   437   0.95100067   0.54377733         246356    0.2320     54.7
   438   0.27878200   0.04071600          33555    0.0640    101.3
   439   0.33642467   0.28209133         111419    0.3630     90.9
   440   0.00350733   0.83325667           7265    0.3740     20.6
   441   0.13721067   0.09126333          12415    0.5500     60.3
   442   0.87197133   0.26405800         157097    0.1790     79.7
   443   0.87885133   0.82500200         127750    0.0920     85.6
   444   0.15271667   0.98685533           6897    0.4930     96.3
   445   0.05817267   0.27355267         232474    0.0030    133.4
   446   0.95769067   0.44577800         239653    0.1190    150.2
   447   0.98720467   0.12311533          38542    0.1730    162.7
   448   0.55529133   0.93155067         246055    0.3820      7.9
   449   0.02912267   0.45429533         177606    0.1890    165.7
   450   0.01945000   0.06110800          12798    0.3440    176.1
   451   0.39387267   0.58337533          20101    0.5230    173.8
   452   0.47546067   0.62518000          21103    0.3050     79.1
   453   0.27478933   0.12181267         159492    0.2480     44.6
   454   0.49499000   0.42354467           7226    0.2010      1.2
   455   0.12588000   0.05945733          50038    0.2060     99.9
   456   0.76113267   0.25082067          15289    0.5430    118.2
   457   0.86587467   0.81380333          47384    0.1670    126.7
   458   0.71527933   0.34705267         277120    0.0300    149.6
   459   0.55693000   0.31989467           7287    0.2400    158.4
   460   0.79542800   0.05638333          58170    0.1340      6.0
   461   0.40141933   0.02873733           4610    0.4310    124.1
   462   0.06614267   0.17279000         167852    0.0950     39.7
   463   0.97601400   0.19276733          75528    0.0830     86.7
   464   0.20069800   0.57977533         215831    0.0560    103.8
   465   0.11532333   0.18221933         249068    0.1240    128.4
   466   0.73822333   0.49213733           7491    0.2630     17.0
   467   0.28278667   0.30871800           4455    0.4770     81.2
   468   0.00278400   0.00871133         162347    0.1200     60.3
   469   0.93622800   0.32605667         204764    0.0300    143.0
   470   0.98337333   0.03334000          85411    0.4270    143.8
   471   0.80880667   0.49213000          51814    0.2610     80.8
   472   0.97440800   0.31510200           9315    0.5330     91.6
   473   0.87026000   0.19613333          11880    0.2340     13.8
   474   0.47401600   0.11505333           7307    0.2400    110.4
   475   0.71386533   0.66012600         129115    0.0950     30.2
   476   0.08480067   0.03392933           3922    0.4680      2.5
   477   0.48124533   0.23077200         274635    0.2190      8.4
   478   0.13419333   0.91297800           8352    0.1670     88.0
   479   0.62778800   0.92026467           5862    0.1720    138.0
   480   0.73280067   0.43105400         144469    0.1140     71.5
   481   0.26405267   0.03557667         466732    0.0680    100.9
   482   0.03323800   0.08122533          65487    0.2160    128.5
   483   0.12794133   0.94432533         360194    0.3610     57.2
   484   0.41476333   0.12012933         120926    0.0730    138.5
   485   0.55524400   0.46163600          30532    0.0760    109.9
   486   0.27654667   0.64234333         333104    0.0780     13.0
   487   0.18077067   0.49114133          69921    0.1110     99.6
   488   0.04082933   0.17393467         101992    0.2670     82.9
   489   0.30976333   0.04896733         160543    0.0350     15.3
   490   0.39889467   0.69407867          16129    0.1660     73.9
   491   0.88865400   0.98412467          67640    0.1920     28.5
   492   0.59130933   0.90335600         109312    0.3430     15.1
   493   0.72109133   0.70122667         204536    0.2880    112.5
   494   0.23265067   0.25591533          24590    0.0480    120.5
   495   0.12207800   0.31438000           9393    0.2420     71.3
   496   0.86068267   0.87353333          55250    0.1080    132.5
   497   0.71793200   0.63988400         196052    0.0540     93.7
   498   0.72193267   0.94765000         144097    0.1880    140.5
   499   0.05902533   0.86030067         189567    0.1040    175.6
   500   0.46932000   0.76934600         311913    0.5160    115.4
   501   0.13585267   0.09693000          15256    0.2240     10.1
   502   0.59818000   0.86942800          46763    0.0680    133.4
   503   0.50009467   0.48256667          70893    0.2730    168.7
   504   0.68311267   0.76822333           5465    0.1540    135.0
   505   0.45712800   0.19874867          33120    0.4690    142.5
   506   0.18045333   0.93093333          97255    0.1200    161.1
   507   0.98026267   0.77366267          65919    0.2430     46.1
   508   0.93519600   0.73717467          42812    0.1850    105.3
   509   0.91677400   0.42288600         190938    0.0580    168.9
   510   0.26059933   0.50942000          41391    0.0810     59.4
   511   0.19111333   0.02840000          32828    0.3100     82.8
   512   0.79375000   0.51402267           8748    0.6550    155.1
   513   0.71056533   0.56097933         156500    0.3140     63.6
   514   0.90697400   0.02323267         193819    0.6120    161.5
   515   0.19346467   0.24335933           4788    0.4560     82.0
   516   0.96943200   0.83733133         122214    0.0480    142.6
